tte_bucket,momentum_bucket,momentum_bucket_start_cents,momentum_bucket_end_cents_exclusive,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
8,+9c,9,10,1,CatBoost,0.33772106409268354,0.4620354671654025,0.4727745194332885,0.4795145796243985,0.4307829241161565,0.4831384088491558,0.4356948652651893,0.5923680335642716,0.33772106409268354,0.5182802381734486
8,+10c,10,11,1,XGBoost,0.1290507975023519,0.1625189365100861,0.19085818692285797,0.20838418309973797,0.18632958483417977,0.13232892605897023,0.1290507975023519,0.1512759787004393,0.15620600414061542,0.22676578103121892
8,+24c,24,25,1,Momentum-Adjusted Gaussian,0.7765287956538238,0.8209805574884342,0.8142963825658407,0.810153006741665,0.7765287956538238,0.9436134981435971,1.0788432228562743,0.8013653957393578,1.583064339670249,0.7830929797464997
7,-6c,-6,-5,1,Machine Learning (Logistic Regression),0.23081865212296004,0.2613647889051693,0.2831601846627415,0.296760474032687,0.2876820972870499,0.23081865212296004,0.2732594188289741,0.2883686047225221,0.3072597046852044,0.33920414099305335
7,-5c,-5,-4,2,Machine Learning (Logistic Regression),0.30454689947561353,0.322178516710206,0.3403212597027545,0.3516801089921129,0.3235136312001654,0.30454689947561353,0.3503848020192985,0.3631126579370173,0.32732290666796504,0.39796580224802053
7,-4c,-4,-3,2,Machine Learning (Logistic Regression),0.41113206038850325,0.4611544150821587,0.4722590437307408,0.47921808667335264,0.49362492301092364,0.41113206038850325,0.5569296235971517,0.5313154791281652,0.5185028632485933,0.5131654620558768
7,-3c,-3,-2,6,XGBoost,0.47886145669742386,0.5302974933483368,0.5324602866720743,0.5347326212235098,0.5120457379652966,0.5380516921568248,0.47886145669742386,0.5026688298395428,0.4814839866108725,0.5161118920564963
7,-2c,-2,-1,15,Standard Gaussian,0.41630757813286573,0.41630757813286573,0.4257377901663771,0.4321943864959407,0.42654519646841443,0.4211896278707705,0.42358512623775024,0.4362288894985281,0.4266101482895372,0.4309762905434438
7,-1c,-1,0,36,PySR (Symbolic Regression),0.5543851125989739,0.5682987716923841,0.5641587918161517,0.5632489735132863,0.5799030416831358,0.5704690750107597,0.5866290496060267,0.5801539069143746,0.587190387554664,0.5543851125989739
7,+0c,0,1,116,CatBoost,0.44420265623917793,0.445665495702353,0.45037582839148665,0.45509880115674006,0.445665495702353,0.4458218735456837,0.4485571361310291,0.45723636885850993,0.44420265623917793,0.46425741530284875
